graph	mode	spec	nodes	w	threads	time_s	exit_code	expansions
grid_1e9_sparse	grid	bench_specs/grid_1e9_sparse.spec	1	1	1	201.950829	0	999999998
grid_1e9_sparse	grid	bench_specs/grid_1e9_sparse.spec	1	1	8	202.922457	0	999999998
grid_1e9_sparse	grid	bench_specs/grid_1e9_sparse.spec	2	1	1	NA	143	NA
grid_1e9_sparse	grid	bench_specs/grid_1e9_sparse.spec	2	1	8	NA	143	NA
grid_1e9_sparse	grid	bench_specs/grid_1e9_sparse.spec	4	1	1	196.896497	0	999999998
grid_1e9_sparse	grid	bench_specs/grid_1e9_sparse.spec	4	1	8	220.579625	0	999999998
recommender_medium	geom	bench_specs/geom_1e9_recommender_medium.spec	1	1	1	250.104618	0	10905493
recommender_medium	geom	bench_specs/geom_1e9_recommender_medium.spec	1	1	8	318.542824	0	10905493
recommender_medium	geom	bench_specs/geom_1e9_recommender_medium.spec	2	1	1	148.786790	0	10906240
recommender_medium	geom	bench_specs/geom_1e9_recommender_medium.spec	2	1	8	198.623168	0	10906240
recommender_medium	geom	bench_specs/geom_1e9_recommender_medium.spec	4	1	1	80.394589	0	10902144
recommender_medium	geom	bench_specs/geom_1e9_recommender_medium.spec	4	1	8	110.690644	0	10902144
